Estación,Año,Mes,Temperatura max med,Temperatura min med,Temperatura  med,Humedad Relat,Precipitaciones,Nombres Estaciones,Latitud,Longitud,Región
78310,1997,9,30.6,24.4,26.8,84.0,273.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1997,10,30.1,23.7,26.2,79.0,74.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1997,11,28.4,23.4,25.7,80.0,56.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1997,12,27.3,21.7,24.3,74.0,78.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,1,27.1,21.0,23.7,77.0,202.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,2,27.4,21.8,24.5,73.0,28.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,3,27.0,20.6,23.7,70.0,65.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,4,29.3,22.7,25.7,71.0,0.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,5,30.7,24.5,27.1,78.0,154.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,6,31.6,25.2,28.1,82.0,165.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,7,31.6,24.9,27.8,83.0,131.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,8,31.3,24.8,27.6,83.0,273.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,9,31.2,26.0,28.2,83.0,295.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,10,30.7,24.3,26.7,83.0,246.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,11,29.1,22.1,25.2,81.0,58.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1998,12,27.7,20.8,23.8,78.0,46.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1999,1,26.7,19.5,22.7,77.0,106.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
